srcStateName,srcYear,Sub Centres and Health and Wellness Centers -Sub Centres functioning in rural areas-I,Primary Health Centres ( PHC ) and Health and Wellness Centers-Primary Health ( HWC_PHC ) Centers functioning in rural areas-I,Sub Centers ( SC ),Building position of Sub Centres ( SC ) and Health and Wellness Centres -Sub Centres ( HWC_SC ) functioning in rural areas,Building position for Sub Centres functioning in Government Building in Rural areas,Building Position for Sub Centres functioning in Rented Building in Rural areas ,Building Position for Sub Centres functioning in rent free Panchayat or Voluntary Society buildings in Rural areas,Building Position for Sub Centres with Buildings under Construction in Rural areas ,Building Position for Primary Health Centres and Health and Wellness canters functioning in Rural areas,Building Position for Primary Health Centers functioning in Government Building in Rural areas ,Building Position for  Primary Health Centres functioning in Rented Building in Rural areas,Building Position for Primary Health Centres functioning in Rent free Panchayat or Voluntary Society Buildings in Rural areas ,Building Position for Primary Health Centres functioning in Buildings Under Construction in Rural areas ,Building Position for Community Health Centres functioning in Rural areas,Building Position for Community Health Centres functioning in Government Building in Rural areas,Building Position for Community Health Centres functioning in  Rented Building  in Rural areas ,Building Position for Community Health Centres functioning in Rent free Panchayat or Voluntary Society Building in Rural areas,Building Position for Community Health Centres with Buildings under Construction in Rural areas,Female health worker or Auxiliary Nurse Midwife required in rural areas,Female health worker or Auxiliary Nurse Midwife ( ANM ) sanctioned in rural areas,Female health worker or Auxiliary Nurse Midwife ( ANM ) in position in rural areas,Female health worker or Auxiliary Nurse Midwife ( ANM ) vacancies in rural areas,Shortfall in female health worker or Auxiliary Nurse Midwife ( ANM ) in rural areas,Doctors requirements at Primary Health Centres ( PHC ) in rural areas,Doctors sanctioned at Primary Health Centres ( PHC ) in rural areas,Doctors in positions at Primary Health Centres ( PHC ) in rural areas,Vacancies of doctors at Primary Health Centres ( PHC ) in rural areas,Shortfall of doctors at Primary Health Centres ( PHC ) in rural areas,Specialists required at Community Health Centres ( CHC ) in rural areas,Specialists sanctioned at Community Health Centres ( CHC ) in rural areas,Specialists in position at Community Health Centres ( CHC ) in rural areas,Vacancies of Specialists at Community Health Centres ( CHC )  in rural areas,Shortfall in Specialists at Community Health Centres ( CHC ) in rural areas,Radiographers required at Community Health Centres ( CHC ) in rural areas,Radiographers sanctioned at Community Health Centres ( CHC ) in rural areas,Radiographers in position at Community Health Centres ( CHC ) in rural areas,Vacancies of Radiographers at Community Health Centres ( CHC ) in rural areas,Shortfall in Radiographers at Community Health Centres ( CHC ) in rural areas,Pharmacists required at Community Health Centres ( CHC ) and Primary Health Centres ( PHC ) in rural areas,Pharmacists sanctioned at Community Health Centres ( CHC ) and Primary Health Centres ( PHC ) in rural areas,Pharmacists in position at Community Health Centres ( CHC ) and Primary Health Centres ( PHC ) in rural areas,Vacancies of Pharmacist at Community Health Centres ( CHC ) and Primary Health Centres ( PHC ) in rural areas,Shortfall in Pharmacists at Community Health Centres( CHC ) and Primary Health Centres ( PHC ) in rural areas,Lab Technicians required at Community Health Centres ( CHC ) and Primary Health  Centres ( PHC )in rural areas,Lab Technicians sanctioned at Community Health Centres ( CHC ) and Primary Health Centres ( PHC ) in rural areas,Lab Technicians in position at Community Health Centres ( CHC ) and Primary Health Centres ( PHC ) in rural areas,Vacancies of Lab Technician at Community Health Centres ( CHC ) and Primary Health Centres ( PHC ) in rural areas,Shortfall in Lab Technicians at Community Health Centres ( CHC ) and Primary Health Centres ( PHC ) in rural areas,Nursing staff required at Community Health Centres ( CHC ) and Primary Health Centres Centres ( PHC ) in rural areas,Nursing staff sanctioned at Community Health Centres ( CHC ) and Primary Health Centres ( PHC ) in rural areas,Nursing staff in position at Community Health Centres ( CHC ) and Primary Health Centres ( PHC ) in rural areas,Vacancies of Nursing staff at Community Health Centres ( CHC ) and Primary Health Centres ( PHC ) in rural areas,Shortfall in nursing staff at Community Health Centres  ( CHC ) and Primary Health Centres ( PHC ) in rural areas,Sub Centres functioning in rural areas-II,Primary Health Centres functioning in rural areas-II,Community Health Centres ( CHC ) functioning in rural areas-II,Total Builiding Positions of Sub Centres in Rural areas-II,Builiding Position for Sub Centres functioning in Government Builidings in Rural Areas-II,Total Building Positions of Primary Health Centres ( PHC ) in Rural Areas-II,Builiding Position for Primary Health Centres ( PHC ) in Government Builidings in Rural Areas-II,Total Builiding Position of Community Health Centres ( CHC ) in Rural Areas-II,Builiding Position for Community Health Centres ( CHC ) functioning in Government Builidings in Rural Areas-II,Female health worker or Auxiliary Nurse Midwife (ANM) at Sub Center and Primary Health Centre in Rural Areas- I,Doctors in position at Primary Health Centres ( PHC ) in rural areas-I,Total Specialists at Community Health Centre ( PHC )  in Rural Areas- I,Radiographers in position at Community Health Centres ( CHC )in rural areas-II,Pharmacists in position at Community Health Centres ( CHC ) and Primary Health Centres (PHC ) in rural areas-II,Lab Technicians in position at Community Health Centres ( CHC ) and Primary Health Centres ( PHC ) in rural areas-II,Nursing staff in position at Community Health Centres ( CHC ) and Primary Health Centres ( PHC ) in rural areas -II,YearCode,Year
Meghalaya,2019,477,118,28,477,468,2,7,0,118,118,0,0,0,28,28,0,0,0,595,,1173,,0,118,,149,,0,112,,4,,108,28,,18,,10,146,,171,,0,146,,174,,0,314,,751,,0,477,118,28,477,468,118,118,28,28,1173,149,4,18,171,174,751,2019,"Financial Year (Apr - Mar), 2019"
Chandigarh,2020,0,0,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,0,,0,,0,,,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
Chandigarh,2021,0,0,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,0,,0,,0,,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
Gujarat,2019,9166,1476,362,9166,8515,272,379,2688,1476,1476,0,0,0,362,361,1,0,90,10642,10642,9168,1474,1474,1476,2639,2186,453,0,1448,601,118,483,1330,362,364,192,172,170,1838,1875,1675,200,163,1838,1841,1729,112,109,4010,5230,4218,1012,0,9166,1476,362,9166,8515,1476,1476,362,361,9168,2186,118,192,1675,1729,4218,2019,"Financial Year (Apr - Mar), 2019"
Haryana,2019,2604,379,115,2604,1669,275,660,9,379,321,4,54,15,115,112,1,2,9,2983,3938,4606,0,0,379,684,542,142,0,460,51,15,36,445,115,79,54,25,61,494,550,430,120,64,494,535,356,179,138,1184,2355,2110,245,0,2604,379,115,2604,1669,379,321,115,112,4606,542,15,54,430,356,2110,2019,"Financial Year (Apr - Mar), 2019"
Delhi,2021,12,5,0,12,1,8,3,,5,5,0,0,,0,,,,,17,37,35,2,0,5,19,16,3,0,0,,,,,0,,,,,5,4,3,1,2,5,7,6,1,0,5,6,6,0,0,12,5,0,12,1,5,5,0,,35,16,,,3,6,6,2021,"Financial Year (Apr - Mar), 2021"
Himachal Pradesh,2019,2089,586,87,2089,1588,25,476,0,586,455,17,114,0,87,85,1,1,0,2675,2381,1845,536,830,586,722,486,236,100,348,,5,,343,87,65,24,41,63,673,594,293,301,380,673,,78,,595,1195,842,404,438,791,2089,586,87,2089,1588,586,455,87,85,1845,486,5,24,293,78,404,2019,"Financial Year (Apr - Mar), 2019"
Andhra Pradesh,2019,7437,1145,140,7437,1769,5668,0,4,1145,1145,0,0,42,140,140,0,0,0,8582,14275,11815,2460,0,1145,1862,1715,147,0,560,295,237,58,323,140,91,40,51,100,1285,1333,1016,317,269,1285,1156,817,339,468,2125,3190,2861,329,0,7437,1145,140,7437,1769,1145,1145,140,140,11815,1715,237,40,1016,817,2861,2019,"Financial Year (Apr - Mar), 2019"
Arunachal Pradesh,2019,385,143,63,385,385,0,0,0,143,143,0,0,0,63,63,0,0,0,528,,689,,0,143,,116,,27,252,,4,,248,63,,17,,46,206,,101,,105,206,,113,,93,584,,617,,0,385,143,63,385,385,143,143,63,63,689,116,4,17,101,113,617,2019,"Financial Year (Apr - Mar), 2019"
Assam,2019,4643,946,177,4643,4049,466,128,0,946,946,0,0,0,177,177,0,0,0,5589,,11502,,0,946,,1925,,0,708,,136,,572,177,,90,,87,1123,,1779,,0,1123,,1409,,0,2185,,3369,,0,4643,946,177,4643,4049,946,946,177,177,11502,1925,136,90,1779,1409,3369,2019,"Financial Year (Apr - Mar), 2019"
Bihar,2019,9949,1899,150,9949,5643,3277,1029,45,1899,1493,384,22,45,150,150,0,0,0,11848,,24228,,0,1899,,2085,,0,600,,82,,518,150,,1,,149,2049,,287,,1762,2049,,611,,1438,2949,,1630,,1319,9949,1899,150,9949,5643,1899,1493,150,150,24228,2085,82,1,287,611,1630,2019,"Financial Year (Apr - Mar), 2019"
West Bengal,2019,10357,908,348,10357,7819,1887,651,419,908,894,14,0,0,348,348,0,0,0,11265,19624,18997,627,0,908,1326,810,516,98,1392,574,71,503,1321,348,280,182,98,166,1256,1543,1411,132,0,1256,925,785,140,471,3344,7062,5811,1251,0,10357,908,348,10357,7819,908,894,348,348,18997,810,71,182,1411,785,5811,2019,"Financial Year (Apr - Mar), 2019"
Chhattisgarh,2019,5205,792,170,5205,4202,56,947,244,792,677,0,115,37,170,159,0,11,8,5997,6055,6808,0,0,792,792,321,471,471,680,671,61,610,619,170,180,161,19,9,962,1126,1003,123,0,962,1150,844,306,118,1982,3426,2618,808,0,5205,792,170,5205,4202,792,677,170,159,6808,321,61,161,1003,844,2618,2019,"Financial Year (Apr - Mar), 2019"
Goa,2019,219,24,5,219,46,173,0,0,24,23,1,0,1,5,5,0,0,0,243,308,250,58,0,24,48,56,0,0,20,5,5,0,15,5,7,7,0,0,29,43,41,2,0,29,31,30,1,0,59,129,135,0,0,219,24,5,219,46,24,23,5,5,250,56,5,7,41,30,135,2019,"Financial Year (Apr - Mar), 2019"
